This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,4 = quite a bit,5 =extremely,
,,,,,,,,49. sheepish,1
1. cheerful,3,13. inspired,1,25. alert,4,37. excited,4,,
,,,,,,,,50. distressed,2
2. digusted ,2,14. fearless,2,26. upset,2,38. hostile,2,,
,,,,,,,,51. blameworthy,1
3. attentive,4,15. disgusted with self,1,27. angry,2,39. proud,3,,
,,,,,,,,52. determined,4
4. bashful,3,16. sad,2,28. bold,4,40. jittery,2,,
,,,,,,,,53. frightened,2
5. sluggish,3,17. calm,3,29. blue,2,41. lively,4,,
,,,,,,,,54. astonished,3
6. daring,4,18. afraid,2,30. shy,2,42. ashamed,2,,
,,,,,,,,55. interested,4
7. surprised,3,19. tired,4,31. active,4,43. at ease,4,,
,,,,,,,,56. loathing,4
8. strong,5,20. amazed,3,32. guilty,1,44. scared,2,,
,,,,,,,,57. confident,4
9. scornful,3,21. shaky,3,33. joyful,3,45. drowsy,3,,
,,,,,,,,58. energetic,4
10. relaxed,4,22. happy,4,34. nervous,2,46. angry at self,1,,
,,,,,,,,59. concentrating,4
11. irritable,2,23. timid,2,35. lonely,1,47. enthusiastic,2,,
,,,,,,,,60. dissatisfied with self,1
12. delighted,3,24. alone,1,36. sleepy,4,48. downhearted,2,,
