This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,4 = quite a bit,5 =extremely,
,,,,,,,,49. sheepish,1
1. cheerful,4,13. inspired,4,25. alert,4,37. excited,4,,
,,,,,,,,50. distressed,2
2. digusted ,1,14. fearless,3,26. upset,2,38. hostile,3,,
,,,,,,,,51. blameworthy,1
3. attentive,3,15. disgusted with self,3,27. angry,1,39. proud,4,,
,,,,,,,,52. determined,4
4. bashful,1,16. sad,1,28. bold,3,40. jittery,3,,
,,,,,,,,53. frightened,2
5. sluggish,2,17. calm,4,29. blue,2,41. lively,3,,
,,,,,,,,54. astonished,4
6. daring,3,18. afraid,3,30. shy,2,42. ashamed,2,,
,,,,,,,,55. interested,4
7. surprised,4,19. tired,2,31. active,3,43. at ease,3,,
,,,,,,,,56. loathing,1
8. strong,4,20. amazed,4,32. guilty,1,44. scared,3,,
,,,,,,,,57. confident,4
9. scornful,1,21. shaky,3,33. joyful,4,45. drowsy,2,,
,,,,,,,,58. energetic,3
10. relaxed,4,22. happy,4,34. nervous,2,46. angry at self,1,,
,,,,,,,,59. concentrating,4
11. irritable,1,23. timid,3,35. lonely,2,47. enthusiastic,4,,
,,,,,,,,60. dissatisfied with self,1
12. delighted,3,24. alone,2,36. sleepy,2,48. downhearted,2,,
