This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,4 = quite a bit,5 =extremely,
,,,,,,,,49. sheepish,2
1. cheerful,5,13. inspired,5,25. alert,4,37. excited,4,,
,,,,,,,,50. distressed,1
2. digusted ,1,14. fearless,4,26. upset,1,38. hostile,1,,
,,,,,,,,51. blameworthy,1
3. attentive,4,15. disgusted with self,1,27. angry,1,39. proud,5,,
,,,,,,,,52. determined,5
4. bashful,3,16. sad,1,28. bold,4,40. jittery,2,,
,,,,,,,,53. frightened,1
5. sluggish,3,17. calm,4,29. blue,1,41. lively,2,,
,,,,,,,,54. astonished,2
6. daring,4,18. afraid,1,30. shy,3,42. ashamed,1,,
,,,,,,,,55. interested,5
7. surprised,2,19. tired,2,31. active,3,43. at ease,4,,
,,,,,,,,56. loathing,1
8. strong,5,20. amazed,3,32. guilty,1,44. scared,1,,
,,,,,,,,57. confident,4
9. scornful,1,21. shaky,1,33. joyful,5,45. drowsy,3,,
,,,,,,,,58. energetic,3
10. relaxed,4,22. happy,5,34. nervous,1,46. angry at self,1,,
,,,,,,,,59. concentrating,4
11. irritable,1,23. timid,3,35. lonely,1,47. enthusiastic,4,,
,,,,,,,,60. dissatisfied with self,1
12. delighted,4,24. alone,1,36. sleepy,2,48. downhearted,1,,
