EDA_Time,Measurement
16:15:12.250000,0.0
16:15:12.500000,0.611085
16:15:12.750000,0.653361
16:15:13,0.662329
16:15:13.250000,0.662329
16:15:13.500000,0.66361
16:15:13.750000,0.664891
16:15:14,0.666172
16:15:14.250000,0.664891
16:15:14.500000,0.664891
16:15:14.750000,0.664891
16:15:15,0.66361
16:15:15.250000,0.66361
16:15:15.500000,0.66361
16:15:15.750000,0.666172
16:15:16,0.667453
16:15:16.250000,0.666172
16:15:16.500000,0.667453
16:15:16.750000,0.668734
16:15:17,0.6700149999999999
16:15:17.250000,0.6700149999999999
16:15:17.500000,0.671296
16:15:17.750000,0.731775
16:15:18,0.50502
16:15:18.250000,0.5011770000000001
16:15:18.500000,0.503739
16:15:18.750000,0.502458
16:15:19,0.5011770000000001
16:15:19.250000,0.498615
16:15:19.500000,0.5011770000000001
16:15:19.750000,0.5011770000000001
16:15:20,0.510145
16:15:20.250000,0.515269
16:15:20.500000,0.511426
16:15:20.750000,0.506301
16:15:21,0.51655
16:15:21.250000,0.519112
16:15:21.500000,0.517831
16:15:21.750000,0.51655
16:15:22,0.520393
16:15:22.250000,0.520393
16:15:22.500000,0.519112
16:15:22.750000,0.510145
16:15:23,0.499896
16:15:23.250000,0.49605200000000005
16:15:23.500000,0.49349
16:15:23.750000,0.494771
16:15:24,0.494771
16:15:24.250000,0.494771
16:15:24.500000,0.499896
16:15:24.750000,0.49605200000000005
16:15:25,0.497334
16:15:25.250000,0.49605200000000005
16:15:25.500000,0.497334
16:15:25.750000,0.49349
16:15:26,0.492209
16:15:26.250000,0.492209
16:15:26.500000,0.489647
16:15:26.750000,0.48708500000000005
16:15:27,0.489647
16:15:27.250000,0.48836599999999997
16:15:27.500000,0.484523
16:15:27.750000,0.485804
16:15:28,0.483241
16:15:28.250000,0.483241
16:15:28.500000,0.483241
16:15:28.750000,0.484523
16:15:29,0.485804
16:15:29.250000,0.48196000000000006
16:15:29.500000,0.484523
16:15:29.750000,0.483241
16:15:30,0.48196000000000006
16:15:30.250000,0.47939799999999994
16:15:30.500000,0.48196000000000006
16:15:30.750000,0.480679
16:15:31,0.478117
16:15:31.250000,0.478117
16:15:31.500000,0.47939799999999994
