This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,4 = quite a bit,5 =extremely,
,,,,,,,,49. sheepish,1
1. cheerful,1,13. inspired,1,25. alert,4,37. excited,1,,
,,,,,,,,50. distressed,3
2. digusted ,1,14. fearless,3,26. upset,1,38. hostile,1,,
,,,,,,,,51. blameworthy,1
3. attentive,3,15. disgusted with self,2,27. angry,1,39. proud,3,,
,,,,,,,,52. determined,5
4. bashful,1,16. sad,1,28. bold,3,40. jittery,1,,
,,,,,,,,53. frightened,1
5. sluggish,4,17. calm,2,29. blue,3,41. lively,3,,
,,,,,,,,54. astonished,1
6. daring,3,18. afraid,2,30. shy,4,42. ashamed,1,,
,,,,,,,,55. interested,4
7. surprised,1,19. tired,4,31. active,2,43. at ease,3,,
,,,,,,,,56. loathing,1
8. strong,2,20. amazed,1,32. guilty,2,44. scared,1,,
,,,,,,,,57. confident,2
9. scornful,1,21. shaky,1,33. joyful,2,45. drowsy,4,,
,,,,,,,,58. energetic,2
10. relaxed,2,22. happy,3,34. nervous,3,46. angry at self,2,,
,,,,,,,,59. concentrating,3
11. irritable,3,23. timid,4,35. lonely,1,47. enthusiastic,1,,
,,,,,,,,60. dissatisfied with self,2
12. delighted,2,24. alone,1,36. sleepy,5,48. downhearted,1,,
