This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,4 = quite a bit,5 =extremely,
,,,,,,,,49. sheepish,1
1. cheerful,2,13. inspired,1,25. alert,3,37. excited,2,,
,,,,,,,,50. distressed,3
2. digusted ,1,14. fearless,3,26. upset,1,38. hostile,1,,
,,,,,,,,51. blameworthy,1
3. attentive,4,15. disgusted with self,1,27. angry,1,39. proud,2,,
,,,,,,,,52. determined,4
4. bashful,1,16. sad,1,28. bold,2,40. jittery,2,,
,,,,,,,,53. frightened,1
5. sluggish,2,17. calm,3,29. blue,1,41. lively,3,,
,,,,,,,,54. astonished,1
6. daring,3,18. afraid,1,30. shy,2,42. ashamed,1,,
,,,,,,,,55. interested,3
7. surprised,1,19. tired,2,31. active,3,43. at ease,4,,
,,,,,,,,56. loathing,1
8. strong,3,20. amazed,1,32. guilty,1,44. scared,1,,
,,,,,,,,57. confident,3
9. scornful,1,21. shaky,1,33. joyful,3,45. drowsy,2,,
,,,,,,,,58. energetic,2
10. relaxed,3,22. happy,3,34. nervous,1,46. angry at self,1,,
,,,,,,,,59. concentrating,2
11. irritable,1,23. timid,2,35. lonely,1,47. enthusiastic,3,,
,,,,,,,,60. dissatisfied with self,1
12. delighted,3,24. alone,1,36. sleepy,3,48. downhearted,1,,
