This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,4 = quite a bit,5 =extremely,
,,,,,,,,49. sheepish,1
1. cheerful,2,13. inspired,1,25. alert,4,37. excited,1,,
,,,,,,,1,50. distressed,2
2. digusted ,1,14. fearless,4,26. upset,2,38. hostile,,,
,,,,,,,,51. blameworthy,5
3. attentive,5,15. disgusted with self,1,27. angry,1,39. proud,1,,
,,,,,,,,52. determined,4
4. bashful,1,16. sad,1,28. bold,3,40. jittery,2,,
,,,,,,,,53. frightened,1
5. sluggish,4,17. calm,3,29. blue,1,41. lively,2,,
,,,,,,,,54. astonished,1
6. daring,1,18. afraid,1,30. shy,3,42. ashamed,1,,
,,,,,,,,55. interested,4
7. surprised,1,19. tired,3,31. active,2,43. at ease,1,,
,,,,,,,,56. loathing,1
8. strong,1,20. amazed,1,32. guilty,1,44. scared,1,,
,,,,,,,,57. confident,2
9. scornful,1,21. shaky,2,33. joyful,2,45. drowsy,3,,
,,,,,,,,58. energetic,2
10. relaxed,2,22. happy,4,34. nervous,3,46. angry at self,3,,
,,,,,,,,59. concentrating,5
11. irritable,1,23. timid,4,35. lonely,1,47. enthusiastic,5,,
,,,,,,,,60. dissatisfied with self,1
12. delighted,4,24. alone,4,36. sleepy,3,48. downhearted,3,,
