This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,,5 =extremely,
,,,,,,,,,
1. cheerful,4,13. inspired,2,25. alert,4,37. excited,3,49. sheepish,4
,,,,,,,,,
2. digusted ,1,14. fearless,3,26. upset,1,38. hostile,1,50. distressed,1
,,,,,,,,,
3. attentive,5,15. disgusted with self,1,27. angry,1,39. proud,3,51. blameworthy,1
,,,,,,,,,
4. bashful,5,16. sad,1,28. bold,2,40. jittery,1,52. determined,3
,,,,,,,,,
5. sluggish,2,17. calm,4,29. blue,1,41. lively,4,53. frightened,2
,,,,,,,,,
6. daring,3,18. afraid,1,30. shy,4,42. ashamed,1,54. astonished,3
,,,,,,,,,
7. surprised,2,19. tired,1,31. active,3,43. at ease,5,55. interested,4
,,,,,,,,,
8. strong,3,20. amazed,3,32. guilty,1,44. scared,1,56. loathing,1
,,,,,,,,,
9. scornful,1,21. shaky,1,33. joyful,5,45. drowsy,1,57. confident,4
,,,,,,,,,
10. relaxed,4,22. happy,4,34. nervous,4,46. angry at self,1,58. energetic,4
,,,,,,,,,
11. irritable,2,23. timid,2,35. lonely,1,47. enthusiastic,4,59. concentrating,4
,,,,,,,,,
12. delighted,1,24. alone,1,36. sleepy,1,48. downhearted,1,60. dissatisfied with self,1
