This scale consists of a number of words and phrases that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. ,,,,,,,,,
Indicate to what extent you feel this way right now. Use the following scale to record your answers:,,,,,,,,,
,,1 = very slightly or not at all,,2 = a little ,,3 = moderately,4 = quite a bit,5 =extremely,
,,,,,,,,49. sheepish,2
1. cheerful,1,13. inspired,1,25. alert,2,37. excited,2,,
,,,,,,,,50. distressed,3
2. digusted ,1,14. fearless,1,26. upset,3,38. hostile,1,,
,,,,,,,,51. blameworthy,2
3. attentive,2,15. disgusted with self,2,27. angry,1,39. proud,1,,
,,,,,,,,52. determined,1
4. bashful,2,16. sad,4,28. bold,1,40. jittery,2,,
,,,,,,,,53. frightened,3
5. sluggish,4,17. calm,1,29. blue,3,41. lively,2,,
,,,,,,,,54. astonished,1
6. daring,1,18. afraid,3,30. shy,2,42. ashamed,1,,
,,,,,,,,55. interested,2
7. surprised,1,19. tired,4,31. active,1,43. at ease,1,,
,,,,,,,,56. loathing,2
8. strong,1,20. amazed,1,32. guilty,1,44. scared,1,,
,,,,,,,,57. confident,1
9. scornful,1,21. shaky,4,33. joyful,1,45. drowsy,1,,
,,,,,,,,58. energetic,1
10. relaxed,1,22. happy,1,34. nervous,4,46. angry at self,1,,
,,,,,,,,59. concentrating,1
11. irritable,2,23. timid,1,35. lonely,1,47. enthusiastic,2,,
,,,,,,,,60. dissatisfied with self,3
12. delighted,1,24. alone,1,36. sleepy,1,48. downhearted,3,,
